,Dizi İsimleri,Yapım Yılı,Bölüm Sayısı,Sezon Sayısı,Yönetmen,Senarist,Platform,Türler,Aile,Dram,Komedi,Aksiyon,Polisiye,Tarihi,Romantik,Yapım Şirketi,Başroller,Gösterim Süresi,Besteci,Ödüllü Yönetmen,Ödüllü Aktör,İhraç,Sonuç
783,Ezel,2009,71,2,Uluç Bayraktar,Kerem Deren,Show TV,"['Aksiyon', 'Dram']",0,1,0,1,0,0,0,Ay Yapım,"Kenan İmirzalıoğlu,Cansu Dere,Yiğit Özşener,Barış Falay,Tuncel Kurtiz,Haluk Bilginer",90,Toygar Işıklı,1,1,1,Kısmen Başarılı
784,Geniş Aile,2009,108,3,Ömer Uğur,Cüneyt İnan,Kanal D,"['Komedi', 'Aile']",1,0,1,0,0,0,0,D Productions,"Ufuk Özkan,Zuhal Topal,Rojda Demirer,Rasim Öztekin,Fırat Tanış,Mine Teber,İlker Ayrık",90,Unknown,0,1,1,Başarılı
785,Haneler,2009,52,2,Elif A. Durmaz,Saygın Delibaş,Kanal D,"['Komedi', 'Sitcom']",0,0,1,0,0,0,0,D Productions,"Serdar Orçin,Fırat Doğruloğlu,Kamil Güler,Asuman Dabak,Özlem Türkad,Çağlar Çorumlu",80,Unknown,0,0,0,Kısmen Başarılı
786,Hanımın Çiftliği,2009,70,2,Faruk Teber,Zülküf Yücel,Kanal D,['Dram'],0,1,0,0,0,0,0,Gold Film,"Mehmet Aslantuğ,Özgü Namal,Ebru Özkan,Caner Cindoruk,Mehmet Çevik,Necip Memili,Gözde Kansu",90,Unknown,0,1,0,Kısmen Başarılı
787,Hicran Yarası,2009,58,2,Altan Dönmez,Aslı Zengin,TRT 1,['Dram'],0,1,0,0,0,0,0,Yağmur Ajans,"Durul Bazan,Altan Günbay,Miraç Eronat",74,Unknown,1,0,0,Kısmen Başarılı
788,İyilik Kervanı,2009,11,1,Orhan Oğuz,Murat Gürvardar,Samanyolu TV,['Dram'],0,1,0,0,0,0,0,Limon Film,"Fikter Kuşkan,Şebnem Sönmez,Eda Özerkan",75,Unknown,0,0,0,Başarısız
789,Kahramanlar,2009,10,1,Mustafa Şevki Doğan,Ebru Ceylan,Show TV,['Dram'],0,1,0,0,0,0,0,Med Yapım,"Kutsi,Ahmet Kural,Hande Demirdoğan",80,Unknown,0,0,0,Başarısız
790,Kapadokya Düşleri,2009,26,1,Canan Evcimen Obay,Murat Girvardar,atv,['Dram'],0,1,0,0,0,0,0,Canan Evcimen Obay Yapım,"Cemal Toktai,Ayça Erturan,Gözde Çığacı",83,Unknown,0,0,0,Başarısız
791,Kapalıçarşı,2009,38,2,Yasin Uslu,Gaye Boralıoğlı,atv,"['Dram', 'Aile']",1,1,0,0,0,0,0,TMC,"Nejat İşler,Olgun Şimşek,Aslı Tandoğan,Tülin Özen,Mert Fırat Erkan,Engin Altan Düzyatan",80,Unknown,0,0,0,Kısmen Başarılı
792,Kasaba,2009,20,1,Faruk Teber,Murat Gürvardar,atv,['Dram'],0,1,0,0,0,0,0,Limon Film,"Özgü Namal,Okan Yalabık,Emre Kınay,Ayça Erturan",83,Unknown,0,0,0,Başarısız
793,Kış Masalı,2009,11,1,Faruk Teber,Murat Gürvardar,atv,['Dram'],0,1,0,0,0,0,0,Limon Film,"Cemal Hünal,Duygu Yetiş,Fırat Çelik,Birce Akalay,Erdem Akakçe",83,Unknown,0,0,0,Başarısız
794,Kül ve Ateş,2009,9,1,Cemile Kırmızı Karadaş,Hale Çalap Demiray,Star TV,"['Dram', 'Romantik']",0,1,0,0,0,0,1,Asis Film,"Serhat Tutumluer, Başak Köklükaya, Hakan Balamir, Şerif Sezer",80,Unknown,0,0,0,Başarısız
795,Makber,2009,6,1,Kemal Uzun,Şebnem Aksoy,Star TV,"['Dram', 'Aşk']",0,1,0,0,0,0,1,Pana Film,"Seda Bakan,Devrim Nas,Gamze Karaman,Murat Başoğlu,Gaye Gürsel,Soydan Soydaş",90,Cem Erman,0,0,0,Başarısız
796,Maskeli Balo,2009,4,1,Faruk Teber,Murat Gürvardar,Star TV,['Dram'],0,1,0,0,0,0,0,Limon Film,"Burcu Kara,Burak Hakkı,Okan Yalabık",80,Unknown,0,0,0,Başarısız
797,M.A.T,2009,6,1,Orhan Aksoy,Erdoğan Tünaş,TRT 1,['Polisiye'],0,0,0,0,1,0,0,TRT,"Kadir İnanır,Ayhan Işık,Filiz Akın",74,Unknown,0,1,0,Başarısız
798,Melekler Korusun,2009,73,2,Cevriye Demir,Eylem Canpolat,Show TV,"['Dram', 'Gençlik']",0,1,0,0,0,0,0,Tims Productions,"Özge Özpirinçci,Selin Şekerci,Rojda Demirer,Hümeyra Avni Yalçın,Serkan Altunorak",100,Unknown,0,1,0,Kısmen Başarılı
799,Ömre Bedel,2009,71,2,Nihat Durak,Deniz Akçay,FOX,"['Aile, Dram']",1,1,0,0,0,0,0,Gold Film,"Mehmet Ali Nuroğlu,Metin Belgin,Murat Han,Özge Özder",90,Kıraç,1,0,0,Kısmen Başarılı
800,Papatyam,2009,121,4,Bora Tekay,Murat Aras,Star TV,"['Aile', 'Komedi']",1,0,1,0,0,0,0,Mint Prodüksiyon,"Metin Akpınar,Nilgün Kasapbaşoğlu,Deniz Oral",90,Unknown,0,0,0,Başarılı
801,Ramazan Güzeldir,2009,30,1,Selçuk Aydemir,Murat Gürvardar,TRT 1,['Komedi'],0,0,1,0,0,0,0,Limon Film,"Murat Cemcir,Selçuk Aydemir,Özge Borak",74,Unknown,0,0,0,Başarısız
802,Sakarya Fırat,2009,151,4,Osman Sınav,Süleyman Çobanoğlu,TRT 1,"['Askeri', 'Aksiyon', 'Dram', 'Savaş']",0,1,0,1,1,0,0,Sinegraf,"Tayanç Ayaydın,Ceren Hindistan,Deniz Arna,İsmail Hakkı Ürün,Gerçek Sağlar,Kürşat Alnıaçık",90,Aytuğ Yargıç,1,0,0,Başarılı
803,Samanyolu,2009,29,1,Andaç Haznedaroğlu,Melek Gençoğlu,atv,['Dram'],0,1,0,0,0,0,0,Ay Yapım,"Vildan Atasever,Özcan Deniz,Levent Yılmaz,Rıza Akın",83,Unknown,0,1,0,Başarısız
804,Unutulmaz,2009,90,2,Ersoy Güler,Haldun Ünsal,atv,"['Dram', 'Üzüntü']",0,1,0,0,0,0,0,Stil Medya,"Serhan Yavaş,Sinem Öztufan,Özlem Yılmaz,Nihat Altınkaya",90,Unknown,0,0,0,Kısmen Başarılı
805,Uygun Adım Aşk,2009,10,1,Sarp Levendoğlu,Alper Erze,FOX,"['Duygusal, Komedi, Aksiyon']",0,0,1,1,0,0,0,Altıoklar Film Prodüksiyon,"Faik Ergin,Begüm Kütük,Orçun Kpatan,Çetin Altay,Ferdi Kurtuldu",98,Unknown,0,0,0,Başarısız
806,Yalancısın Sen,2009,10,1,Hakan Kurşun,Özer Çetinel,atv,"['Dram, Komedi, Gençlik']",0,1,1,0,0,0,0,Doku Film,"Serkan Kuru, Feride Çetin, İsmail İncekara",90,Unknown,0,0,0,Başarısız
807,Zoraki Başkan,2009,47,1,Gülçin Gülbahçe,Gamze Özer,TRT 1,['Komedi'],0,0,1,0,0,0,0,TRT,"Meltem Parlak,Dost Elver,Ahmet Uğrulu",74,Unknown,0,0,0,Başarısız
808,1 Erkek 1 Kadın,2008,416,8,Leyla Yaman,Hasan Can Kaya,FOX,['Durum komedisi'],0,0,1,0,0,0,0,1K1E (2009-2012),"Demet Evgar,Emre Karayel",45,Unknown,0,0,0,Kısmen Olgun
809,Adanalı,2008,79,3,Adnan Güler,Tayfun Güneyer,atv,"['Aksiyon', 'Dram', 'Komedi', 'Polisiye']",0,1,1,1,1,0,0,Kuzey Prodüksiyon,"Oktay Kaynarca,Mehmet Akif Alakurt,Ekin Türkmen,Cemal Hünal,Selin Demiratar,Serenay Sarıkaya,Çağkan Çulha,Eda Özerkan,Umut Oğuz",90,Ceza,0,1,0,Başarılı
810,Akasya Durağı,2008,174,5,Yaşar Seriner,Resul Ertaş,Kanal D,"['Aile', 'Komedi']",1,0,1,0,0,0,0,Erler Film,"Zeki Alasya,Melek Baykal,Cezmi Baskın,Levent Ülgen,Onur Şan,Ayça İnci,Timur Acar,Berk Oktay,Kayhan Yıldızoğlu",90,Unknown,0,0,0,Kısmen Olgun
811,Aşk Yakar,2008,21,1,Mehmet Ulukan,Ece Yörenç,Kanal D,"['Dram', 'Komedi']",0,1,1,0,0,0,0,Avşar Film,"Özcan Deniz,Meltem Cumbul",90,Unknown,0,1,0,Başarısız
812,Aşk-ı Memnu,2008,79,2,Hilal Saral,Ece Yörenç,Kanal D,"['Dram', 'Romantik']",0,1,0,0,0,0,1,Ay Yapım,"Beren Saat,Kıvanç Tatlıtuğ, Selçuk Yöntem,Hazal Kaya,Nebahat Çehre,Zerrin Tekindor,Nur Fettahoğlu",90,Toygar Işıklı,0,1,1,Kısmen Başarılı
813,Aşkım Aşkım,2008,26,1,Filiz Kaynak,Tayfun Güneyer,Kanal 1,"['Dram, Romantik']",0,1,0,0,0,0,1,Unknown,"Emel Sayın,Mehmet Ali Erbil,Doğa Rutkay,Engin Günaydın,Günay Karacaoğlu,Ayumi Takano",30,Unknown,0,1,1,Başarısız
814,Ay Işığı,2008,8,1,Yağmur Taylan,Ahmet Yurdakul,Star TV,['Dram'],0,1,0,0,0,0,0,Erler Film,"Nehir Erdoğan,Serhat Tutumluer,Teoman Kumbaracıbaşı",80,Unknown,0,0,0,Başarısız
815,Baba Ocağı,2008,52,1,Mustafa Şevki Doğan,H. Baykut Badem,Star TV,"['Aile', 'Komedi']",1,0,1,0,0,0,0,Sinetel Film,"Burak Özçivit,Ceren Hindistan,Selim Gülgören,Gülden Dudarık",90,Aytekin Ataş,0,0,0,Başarısız
816,Babam Adam Olacak,2008,6,1,Sibel Kocataş,Çağlar Çetin,TRT 1,"['Aile', 'Komedi']",1,0,1,0,0,0,0,Üçgen Yapımevi,"Yasemin Ergene,İlker Ayrık,Bülent Alkış,İsrafil Köse",90,Unknown,0,0,0,Başarısız
817,Benim Annem Bir Melek,2008,64,3,Hakan Algül,Vasıf Küçükoruç,atv,"['Aile', 'Durum komedisi']",1,0,1,0,0,0,0,BKM Film,"Oya Başar,Tarık Ünlüoğlu,Dolunay Soysert,Ali Sunal,Şehsuvar Aktaş,Ayçin İnci",90,Unknown,0,0,0,Başarılı
818,Beni Unutma,2008,13,1,Güzide Balcı,Gamze Özer,TRT 1,['Dram'],0,1,0,0,0,0,0,Koliba Film,"Zuhal Olcay,Uğur Polat,Tilbe Saran,Fatih Koyunoğlu,Haldun Boysan",80,Unknown,0,0,0,Başarısız
819,Bir Varmış Bir Yokmuş,2008,4,1,Bülent İşbilen,Meriç Özen,Star TV,['Dram'],0,1,0,0,0,0,0,BKM,"Ahmet Mekin,Onur Ünsal,Şahika Koldemir,Servet Pandur,Serdar Yeğin,Türkan Kılıç,Bülent İşbilen",90,Aytekin Ataş,0,0,0,Başarısız
820,Canım Ailem,2008,63,2,Sadullah Celen,Selin Tunç,atv,"['Aile', 'Komedi']",1,0,1,0,0,0,0,TMC Film,"Uğur Yücel,Ozan Güven,Şebnem Bozoklu,Funda Eryiğit,Ezgi Mola,İlker Aksum,Oktay Gürsoy ",83,Unknown,0,1,0,Kısmen Başarılı
821,Cesaretin Var Mı Aşka,2008,8,1,Ömer Uğur,Resul Ertaş,Kanal D,"['Romantik komedi', 'Dram']",0,1,1,0,0,0,1,Limon Yapım,"Engin Altan Düzyatan,Özge Özpirinçci,Tarık Papuççuoğlu,Ufuk Özkan,İlker Ayrık",90,Unknown,0,1,0,Başarısız
822,Dantel,2008,6,1,Korhan Bozkurt,Zehra Güleray,atv,"['Macera,Dram]",0,1,0,1,0,0,0,İdol Yapım,"Özlem Yılmaz,Engin Altan Düzyatan,Derya Alabora,Betül Şahin,Taner Ertürkler",90,Unknown,0,0,0,Başarısız
823,Dedektif Biraderler,2008,13,1,Şenol Sönmez,Neslihan Eyüboğlu,FOX,"['Gerilim','Gizem','Macera','Romantik','Polisiye']",0,0,0,1,0,0,1,Med Yapım,"Dilek Serbest,Murat Balcı",60,Unknown,0,0,0,Başarısız
824,Derdest,2008,10,1,Kerem Çakıroğlu,Sema Ergenekon,Star TV,['Dram'],0,1,0,0,0,0,0,Tim's Productions,"Kadir Kandemir,Burak Sergen,Yusuf Akgün",90,Taner Ayan,0,0,0,Başarısız
825,Doğruluk Ekseni,2008,36,1,Taner Tunç,Serkan Birlik,Samanyolu TV,['Dram'],0,1,0,0,0,0,0,Ser Film,"Rahman Görede,Ayçin Tuyun,Alp Sunaoğlu",100,Tamer Çıray,0,0,0,Başarısız
826,Doludizgin Yıllar,2008,47,2,Osman Sınav,Yiğit Güralp,atv,['Dram'],0,1,0,0,0,0,0,Sinegraf,"Yusuf Ömer Sınav,Selen Seyven,Arda Kural,Erdal Cindoruk,Damla Debre,Ayşegül İşsever",90,Unknown,1,0,0,Kısmen Başarılı
827,Dur Yolcu,2008,13,1,Hakan Şahin,Ömer Erbil,TRT 1,"['Dram', 'Savaş', 'Tarihî']",0,1,0,1,0,1,0,TRT,"Hazım Körmükçü,Selin Demiratar,Cem Kılıç,Ebru Kocaağa,Murat Soydan,Ahmet Yenilmez",74,Unknown,0,0,0,Başarısız
828,Düğün Şarkıcısı,2008,22,1,Onur Tan,Yasemin Özbek,Kanal D,"['Komedi','Aile','Dram']",1,1,1,0,0,0,0,Unknown,"Mustafa Uzunyılmaz,Neşe Karaböcek",84,Unknown,0,0,0,Başarısız
829,Emret Komutanım,2008,15,1,Mustafa Altıoklar,Alper Erze,Kanal 1,"['Askeri', 'Dram', 'Komedi']",0,1,1,0,1,0,0,Altıoklar Film Prodüksiyon,"Sarp Levendoğlu,Demet Evgar,Seda Akman",90,Tolga Çebi,0,0,0,Başarısız
830,Eyvah Halam,2008,5,1,Kemal Uzun,Fethi Kantarcı,Star TV,"['Komedi', 'Aile']",1,0,1,0,0,0,0,D Productions,Rasim ÖztekinErtuğrul ŞakarEce ÇeşmioğluZeynep ÖzkayaDoğaç YıldızAkçahan AkçaDefne YalnızSait GenayOğuz Oktay,100,Unknown,0,0,0,Başarısız
831,Gazi,2008,19,1,Levent Demirkale,Onur Ünlü,atv,"['Dram','Duygusal','Savaş']",0,1,0,0,1,0,0,Üçgen Yapımevi,"Yıldız Çağır Atiksoy,Ahmet Kural,Perihan Savaş,Selin Demiratar",90,Unknown,0,0,0,Başarısız
832,Gece Gündüz,2008,29,1,Metin Balekoğlu,Alper Uyar,Kanal D,"['Komedi', 'Polisiye', 'Suç', 'Dram']",0,1,1,1,1,0,0,Altıoklar Film Prodüksiyon,"Sarp Levendoğlu,Settar Tanrıöğen",80,Can Erdoğan,0,0,0,Başarısız
833,Gece Sesleri,2008,26,1,Cemal Şan,Onur Uğraş,Show TV,['Dram'],0,1,0,0,0,0,0,Koliba Film,"Özgür Çevik,İsmail Hacıoğlu,Vildan Atasever",80,Nail Yurtsever,0,0,0,Başarısız
834,Görgüsüzler,2008,6,1,Yaşar Seriner,Resul Ertaş,atv,['Komedi'],0,0,1,0,0,0,0,Erler Film,"Melek Baykal,Zeki Alasya,Çağla Şikel,Mert Öcal,Levent Ülgen,Zihni Göktay,Ümit Yesin",80,Unknown,0,0,0,Başarısız
835,Güldünya,2008,10,1,Ömür Atay,Yıldız Tunç,Star TV,['Dram'],0,1,0,0,0,0,0,TMC,"Sanem Çelik,Yeliz Doğramacılar,Songül Öden",90,Murat Uncuoğlu,0,1,0,Başarısız
836,Hayat Güzeldir,2008,7,1,Kartal Tibet,Aydın Üredi,Show TV,"['Aile','Komedi']",1,0,1,0,0,0,0,Show TV,"Cem Davran,Enise Ütük,Merve Sevi",80,Unknown,0,0,0,Başarısız
837,Hepimiz Birimiz İçin,2008,5,1,Serkan Birinci,Tolga Küçük,Kanal D,"['Romantik komedi', 'Dram']",0,1,1,0,0,0,1,Artı Film,"Seda Güven,Buğra Gülsoy",84,Unknown,0,0,0,Başarısız
838,İpsiz Recep,2008,26,1,Erhan Baytimur,Ayça Öksüm,TRT 1,"['Dram','Komedi']",0,1,1,0,0,0,0,A.R.S Yapım,"Kadir İnanır,Hakan Ural,Burcu Kara,Nihat Nikerel",74,Güliz Asyalı,0,1,0,Başarısız
839,Kalpsiz Adam,2008,10,1,Ümmü Burhan,Halid Şimşek,Star TV,['Dram'],0,1,0,0,0,0,0,BKM film,"Bülent İnal,Saadet Işıl,Arif Erkin,İdil Fırat",80,Unknown,0,0,0,Başarısız
840,Karamel,2008,6,1,Şafak Bal,Zehra Güleray,Show TV,"['Aile','Dram']",1,1,0,0,0,0,0,Pastel Film,"Ahu Türkpençe,Emre Kınay,Gökhan Soylu,Ülkü Duru,Gökdeniz Tüzün",80,Unknown,0,0,0,Başarısız
841,Kayıp Prenses,2008,29,1,Özlem Bayşu,Seval Bozkurt,Star TV,"['Dram','Komedi']",0,1,1,0,0,0,0,Focus Film,"Yıldız Çağrı Atiksoy,Sinan Sümer,Çağla Şimşek,Cüneyt Mete,Nazlı Ceren Argon",80,Murat Uncuoğlu,0,0,0,Başarısız
842,Kırmızı Işık,2008,13,1,Hilmi Akyalçın,Bayram Özbek,TRT 1,"['Eğitim','Dram']",0,1,0,0,0,0,0,TRT,"Cüneyt Arkın, Tolga Savacı, Meral Orhonsay, Bahadır Tok, Meltem Ören, Fatma Belgen",25,Unknown,0,0,0,Başarısız
843,Kız Takımı,2008,11,1,Tuğba German,Meriç Acemi,FOX,"['Dram','Gençlik']",0,1,0,0,0,0,0,Altıoklar Film Prodüksiyon,"Duygu Erokan,Buket Arslan,Zeynep Evrim Aydın",90,Unknown,0,0,0,Başarısız
844,Limon Ağacı,2008,10,1,Deniz Ergun,Mahinur Ergun,atv,"['Komedi','Dram']",0,1,1,0,0,0,0,Plato Film,"Kaan Urgancıoğlu,Serenay Sarıkaya,Zuhal Gencer Erkaya,Serdal Genç",90,Can Hakgüder,0,1,0,Başarısız
845,Memur Muzaffer,2008,4,1,Kartal Çidamlı,Özgür Evren Heptürk,FOX,['Aile'],1,0,0,0,0,0,0,Kuzey Prodüksiyon,"Ferdi Tayfur,Billur Yazgan,Sevil Üstekin",85,Unknown,0,0,0,Başarısız
846,Mert ile Gert,2008,27,1,Hakan Algün,Mahinur Ergun ,TRT 1,['Komedi'],0,0,1,0,0,0,0,Plato Film,"Emre Altuğ, Ragga Oktay, Begüm Birgören, Ayşen Gruda",90,Unknown,0,0,0,Başarısız
847,Ölüm Çiçekleri-Saraybosna,2008,4,1,Turgut Yasalar,Feza Doğru,Star TV,"['Dram', 'Savaş']",0,1,0,1,0,0,0,Unknown,"Erhan Emre,Zeynep Beşerler",80,Unknown,0,0,0,Başarısız
848,Pars: Narkoterör,2008,23,1,Metin Günay,Aybars Bora Kahyaoğlu ,Show TV,"['Aksiyon', 'Politik', 'Dram', 'Macera']",0,1,0,1,0,0,0,Sinegraf,"İbrahim Çelikkol, Seda Bakan",90,Unknown,0,0,0,Başarısız
849,Prenses Perfinya,2008,28,1,Umut Gelgör,Caner Güler,FOX,"['Bilim Kurgu','Komedi']",0,0,1,0,0,0,0,Unknown,"Aliona Bozbey, Volkan Severcan,Atilla Arcan,Ruhsar Gültekin",80,Burcu Güven,0,0,0,Başarısız
850,Pulsar,2008,17,1,Ayşe Şule Bilgiç,Engin Elgün,Star TV,"['Aile','Komedi']",1,0,1,0,0,0,0,Rüzgar Yapım,"Pulsar Von Juliet,Ayberk Koçar,Buket Dereoğlu,Kayra Şenocak,Ecem Uzun",90,Kıraç,0,0,0,Başarısız
851,Son Ağa,2008,23,1,Özer Kızıltan,Suna Dölek,Star TV,['Komedi'],0,0,1,0,0,0,0,Pastel Film,"Tamer Karadağlı, Feride Çetin,Emel Müftüoğlu",80,Aria,0,1,0,Başarısız
852,Süper Babaanne,2008,17,1,Serkan Kızıldağ,Gani Müjde,TRT 1,"['Fantastik', 'Aile', 'Komedi']",1,0,1,0,0,0,0,Avşar Film,"Murat Kubilay,Asuman Dabak,Mustafa Uzunyılmaz,Ceren Soylu,Yılmaz Köksal",90,Özgür Akkuş,0,0,0,Başarısız
853,Sürgün Hayatlar,2008,13,1,Şahin Gök,Murat Sarı,TRT 1,['Dram'],0,1,0,0,0,0,0,İdol Yapım,"Aydan Şener, Teoman Kumbaracıbaşı,Neslihan Acar,Kenan Bal",74,Gökhan Kırdar,0,0,0,Başarısız
854,Unutma Beni,2008,1702,8,Mihriban Şahin,Moda Senaryo Evi,FOX,"['Aile', 'Dram']",1,1,0,0,0,0,0,Focus Film,"Taner Ertürkler,İpek Çeken,Pınar Sesveren,Gürsan Piri Onurlu, Osman Karakoç, Cüneyt Mete",60,Unknown,0,0,0,Kısmen Olgun
855,Yaban Gülü,2008,15,1,Kumral Pakel,Nuran Devres,atv,['Dram'],0,1,0,0,0,0,0,Vega Film,"Ayhan Kavas,Damla Debre,Seçkin Özdemir,",80,Yaşar Kurt,0,0,0,Başarısız
856,Yalancı Romantik,2008,66,2,Birkan Uz,Murat Aras,Kanal 1,"['Komedi', 'Aile']",1,0,1,0,0,0,0,Mint Prodüksiyon,"Hakan Yılmaz,Ebru Cündübeyoğlu, Necmi Yapıcı, Asuman Dabak,Melih Ekener,Zerrin Sümer",30,Unknown,0,0,0,Kısmen Başarılı
857,Yol Arkadaşım,2008,41,2,Irmak Çığ,Çağan Irmak,Star TV,"['Dram', 'Komedi', 'Romantik']",0,1,1,0,0,0,1,Sis Yapım,"Özge Özberk,Polat Bilgin,Sinan Tuzcu,Tanju Tuncel Ayşe Tunaboylu,Goncagül Sunar",80,Unknown,0,0,0,Kısmen Başarılı
858,Annem,2007,64,2,Faruk Teber,Gamze Özer,Kanal D,['Dram'],0,1,0,0,0,0,0,Gold Film,"Vahide Perçin,Duygu Yetiş,Talat Bulut,İlhan Şeşen,Emel Göksu",100,Kıraç,0,0,0,Kısmen Başarılı
859,Arka Sıradakiler,2007,193,6,Hamdi Alkan,Nur Özlem Elginöz,FOX,"['Gençlik', 'Dram']",0,1,0,0,0,0,0,MinT Prodüksiyon,"Bülent Emin Yarar,Bülent Çetinaslan,Sinem Öztürk,Barış Atay Mengüllü,Pelin Akil,Fırat Çöloğlu",100,Unknown,0,0,0,Kısmen Olgun
860,Asi,2007,71,2,Cevdet Mercan,Şebnem Çitak,Kanal D,"['Dram', 'Romantik']",0,1,0,0,0,0,1,Sis Yapım,"Tuba Büyüküstün,Murat Yıldırım,Çetin Tekindor,Nur Sürer,Tuncel Kurtiz,Selma Ergeç",84,Unknown,0,0,0,Kısmen Başarılı
861,Aşk Kapıyı Çalınca,2007,8,1,Ömer Gökhan Erkut,Filiz Alpgezmen,Star TV,"['Dram', 'Duygusal']",0,1,0,0,0,0,1,Koliba Film,"Burak Kut,Burak Davutoğlu,Erdal Küçükkömürcü,Bahar Öztan,Aslı Yılmaz,Nihal Menzil",80,Tolga Sünter,0,0,0,Başarısız
862,Benden Baba Olmaz,2007,16,1,Tankut Kılınç,Murat Aras,Star TV,"['Duygusal','Komedi']",0,1,1,0,0,0,0,Mint Prodüksiyon,"Mine Tugay, Atılgan Gümüş,Okan Tangücü,Volkan Severcan",80,Burcu Güven,0,0,0,Başarısız
863,Bez Bebek,2007,101,3,Serpil Kurtça,Nilbanu Engindeniz,FOX,"['Çocuk', 'Fantastik', 'Komedi', 'Dram']",0,1,1,0,0,0,0,Focus Film,"Evrim Akın,Tan Sağtürk, Alpay Atalan,Fatoş Kabasakal,Reyhan Asena Keskinci,Ege Tanman",80,Cenk Durmazel,0,0,0,Başarılı
864,Bıçak Sırtı,2007,30,1,Selim Demirdelen,Gaye Boralıoğlu,Kanal D,"['Aksiyon','Polisiye']",0,0,0,1,0,0,0,TMC,"Nejat İşler,Melisa Sözen,Fikret Kuşkan,Vildan Atasever,Mehmet Günsür",80,Unknown,0,0,0,Başarısız
865,Cumhur Cemaat,2007,15,1,Ebru Yalçın,Tayfun Güneyer,Star TV,['Komedi'],0,0,1,0,0,0,0,Star TV,"Zafer Algöz,Asuman Dabak,Hakan Bilgin,Umut Oğuz",90,P. Murat Özdemir,0,0,0,Başarısız
866,Dudaktan Kalbe,2007,75,2,Andaç Haznedaroğlu,Ece Yörenç,Show TV,['Dram'],0,1,0,0,0,0,0,Ay Yapım,"Aslı Tandoğan,Burak Hakkı,Özge Özder,Yiğit Özşener,Fadik Sevin Atasoy",100,Toygar Işıklı,0,0,0,Kısmen Başarılı
867,Duvar,2007,10,1,Volkan Kocatürk,Sergin Akyaz,atv,['Dram'],0,1,0,0,0,0,0,Base Yapım,"Taylan Güner, Sinem Öztürk, Bülent Çetinaslan,Özge Bent",60,Bolahenk,0,0,0,Başarısız
868,Elveda Derken,2007,51,2,Hilal Saral Ünalan,Petek Vural,Kanal D,['Dram'],0,1,0,0,0,0,0,Yağmur Ajans,"Ece Uslu,Gökhan Tepe,Burcu Kara,İncilay Şahin,Sinan Sümer",80,Günay Uysal,0,0,0,Kısmen Başarılı
869,Elveda Rumeli,2007,83,3,Serdar Akar,Alican Yaraş,atv,"['Dram', 'Tarihî']",0,1,0,0,0,1,0,Adam Film,"Erdal Özyağcılar,Tolgahan Sayışman,Şebnem Sönmez,Gökhan Mete,Mustafa Jasar,Filiz Ahmet",90,Unknown,0,0,0,Başarılı
870,Eşref Saati,2007,39,2,Zeynep Günay Tan,Raci Şaşmaz,Show TV,"['Komedi','Dram']",0,1,1,0,0,0,0,Pana Film,"Yetkin Dikinciler, Yavuz Bingöl,Ahmet Uğurlu",90,Unknown,0,0,0,Kısmen Başarılı
871,Evimin Erkeği,2007,16,1,Tankut Kılınç,Sevil Kısakürek,TRT 1,"['Aile','Komedi']",1,0,1,0,0,0,0,TRT,"Janset, Mustafa Uğurlu,Alev Oraloğlu,Fatma Karanfil",80,Feyzi Ocak,0,0,0,Başarısız
872,Fedai,2007,8,1,Güzide Balcı,Meral Okay,Star TV,['Drama'],0,1,0,0,0,0,1,D Productions,"Seda Sayan,Tamer Karadağlı,  Metin Belgin,Güliz Gençoğlu,İpek Tanrıyar,Enginay Gültekin",80,Unknown,0,1,0,Başarısız
873,Fesupanallah,2007,8,1,Zübeyr Şaşmaz,Hasan Kaçan,atv,"['Komedi', 'Dram']",0,1,1,0,0,0,0,Pana Film,"Şafak Sezer,Kadir Çöpdemir,Hasan Kaçan,Erdal Tosun,Şebnem Özinal,Hatice Şendil",80,Erkin Koray,0,0,0,Başarısız
874,Fikrimin İnce Gülü,2007,8,1,Merve Girgin,Ayşin Akbulut,Show TV,['Dram'],0,1,0,0,0,0,0,Med Yapım,"Aydan Şener,Kenan Işık,Başak Parlak,Yasemin Balık",80,Alp Erkin Çakmak,0,0,0,Başarısız
875,Fırtınalı Aşk,2007,33,1,Ayşe Çelik Gürsoy,Tolga Küçük,atv,['Dram'],0,1,0,0,0,0,0,Med Yapım,"Tuğba Koçak,Lemi Filozof,Aslı Aybars",75,Ercan Saatçi,0,0,0,Başarısız
876,Geniş Zamanlar,2007,22,1,Serdar Akar,Mahinur Ergun,Star TV,['Dram'],0,1,0,0,0,0,0,Koliba Film,"Zuhal Olcay,Özge Özberk,Oktay Kaynarca",75,Gökhan Kırdar,0,0,0,Başarısız
877,Genco,2007,51,1,Kemal Uzun,İlker Barış,Kanal D,['Dram'],0,1,0,0,0,0,0,D Productions,"Alpay Kemal Atalan,Selen Seyven,Hazal Kaya",80,Cem Erman,0,0,0,Başarısız
878,Gönül Salıncağı,2007,15,1,Şenol Sönmez,Ayşe Şule Bilgiç,TRT 1,['Dram'],0,1,0,0,0,0,0,Mayadroom Ajans,"Ayşe Şule Bilgiç, Tufan Kıraç,Erdal Tosun,Ecem Uzun",80,Tufan Kıraç,0,0,0,Başarısız
